seed,scenario,strategy,jobs,success_rate,stranded,duplicate_generations,total_cost,cost_per_1k_success,retry_amplification,p50_completion_s,p95_completion_s,p99_completion_s,window_jobs,window_success_rate,window_p50_completion_s,window_p95_completion_s,window_p99_completion_s
12,brownout,sync_gateway,501,0.7864271457085829,0,0,540.7999999999979,1372.5888324873044,1.1976047904191616,108.86724279744939,530.5885420947493,759.972593287436,,,,,
13,brownout,sync_gateway,540,0.7796296296296297,0,0,573.3999999999983,1361.9952494061715,1.1537037037037037,107.04041904095129,385.37454148125016,682.3350103337725,,,,,
14,brownout,sync_gateway,548,0.7864963503649635,0,0,596.9999999999974,1385.1508120649592,1.2226277372262773,107.54892681080582,443.65055100964537,669.3714684789998,,,,,
15,brownout,sync_gateway,574,0.8066202090592335,0,0,623.1999999999972,1346.0043196544216,1.2142857142857142,103.20695753351652,441.375053316046,731.3923315555126,,,,,
16,brownout,sync_gateway,558,0.7724014336917563,0,0,605.1999999999974,1404.1763341067226,1.2114695340501793,100.45780062013762,377.7589306728264,594.0041947873915,,,,,
17,brownout,sync_gateway,504,0.7599206349206349,0,0,543.7999999999979,1419.8433420365482,1.1964285714285714,108.37818005904643,372.18714842854934,635.6209090065056,,,,,
18,brownout,sync_gateway,520,0.7923076923076923,0,0,554.3999999999982,1345.6310679611604,1.1653846153846155,110.55212304811812,413.6505810069525,717.5072742804932,,,,,
19,brownout,sync_gateway,512,0.794921875,0,0,555.7999999999978,1365.6019656019603,1.212890625,104.3767660018517,426.1882158470253,695.6248214950108,,,,,
20,brownout,sync_gateway,521,0.763915547024952,0,0,559.5999999999979,1406.0301507537633,1.1842610364683301,94.47253665427581,400.7398151360967,818.2973925686667,,,,,
21,brownout,sync_gateway,544,0.7775735294117647,0,0,589.5999999999976,1393.8534278959755,1.2077205882352942,111.85460437733423,373.1042400499041,657.2381205391789,,,,,
22,brownout,sync_gateway,557,0.7737881508078994,0,0,601.5999999999976,1395.8236658932658,1.1974865350089767,106.77826755132338,419.854390342251,563.7847377726612,,,,,
23,brownout,sync_gateway,534,0.797752808988764,0,0,570.7999999999979,1339.9061032863801,1.1722846441947565,104.3238398282574,387.54298686555285,627.6529017268022,,,,,
24,brownout,sync_gateway,568,0.7746478873239436,0,0,620.9999999999972,1411.36363636363,1.232394366197183,96.95119494762082,377.96417066502136,696.86756535205,,,,,
25,brownout,sync_gateway,535,0.8,0,0,577.3999999999978,1349.0654205607427,1.1962616822429906,105.97623564789365,416.5598185677118,584.9137474681161,,,,,
26,brownout,sync_gateway,502,0.7908366533864541,0,0,537.9999999999981,1355.1637279596928,1.1792828685258965,106.10227254878191,422.3192795945615,559.9649024695436,,,,,
27,brownout,sync_gateway,542,0.7693726937269373,0,0,593.9999999999974,1424.4604316546702,1.2380073800738007,106.1301331387607,405.91088519575123,592.6758580017238,,,,,
28,brownout,sync_gateway,524,0.7442748091603053,0,0,568.5999999999977,1457.9487179487123,1.2118320610687023,100.4195665130888,384.8226796794347,696.456750371302,,,,,
29,brownout,sync_gateway,535,0.8,0,0,578.1999999999977,1350.9345794392468,1.2,97.12242530210733,413.83746996244963,712.6056192742547,,,,,
30,brownout,sync_gateway,512,0.7578125,0,0,554.7999999999978,1429.8969072164891,1.208984375,109.7448140613318,423.56989405531385,678.151148949949,,,,,
1,brownout,durable_workflow,513,1.0,0,24,742.1999999999949,1446.7836257309843,1.267056530214425,116.81253435160284,562.4383644773147,754.4435914978662,,,,,
2,brownout,durable_workflow,540,0.9981481481481481,0,10,751.7999999999946,1394.8051948051848,1.212962962962963,119.95015994142886,500.2997326754926,685.0652773132051,,,,,
3,brownout,durable_workflow,526,1.0,0,10,712.3999999999952,1354.3726235741353,1.193916349809886,111.05050993629675,490.0759797034275,660.5966785661558,,,,,
4,brownout,durable_workflow,549,1.0,0,15,798.5999999999943,1454.644808743159,1.2568306010928962,120.70483472015394,536.2087182170112,712.9192278473715,,,,,
5,brownout,durable_workflow,522,1.0,0,23,724.3999999999954,1387.739463601524,1.2509578544061302,122.11312059465945,583.1808954707672,711.8520238470182,,,,,
6,brownout,durable_workflow,563,1.0,0,11,799.1999999999944,1419.538188277077,1.2166962699822381,119.49480462894098,523.6474248478874,720.1404207998094,,,,,
7,brownout,durable_workflow,540,0.9981481481481481,0,18,752.399999999995,1395.9183673469295,1.2351851851851852,114.97024006265133,560.5870101364726,723.9363763837778,,,,,
8,brownout,durable_workflow,545,1.0,0,6,757.7999999999947,1390.4587155963206,1.2238532110091742,119.10119459315445,504.1930125376084,643.9474425970002,,,,,
9,brownout,durable_workflow,595,0.9983193277310924,0,7,836.5999999999939,1408.417508417498,1.2134453781512604,121.85343809809933,466.3530721238858,663.4837357443166,,,,,
10,brownout,durable_workflow,518,1.0,0,13,743.1999999999946,1434.7490347490243,1.222007722007722,107.99174466015344,525.6547756904729,716.7624926719193,,,,,
11,brownout,durable_workflow,542,1.0,0,8,767.1999999999947,1415.49815498154,1.2343173431734318,118.58103759008009,464.3589287178272,670.143220083236,,,,,
12,brownout,durable_workflow,501,1.0,0,4,701.7999999999955,1400.798403193604,1.2135728542914173,115.58236758884686,499.8408301252666,636.5202960728539,,,,,
13,brownout,durable_workflow,540,1.0,0,9,745.799999999995,1381.1111111111018,1.2166666666666666,111.18364013178052,470.5522755571842,665.870544615937,,,,,
14,brownout,durable_workflow,548,1.0,0,19,779.799999999995,1422.992700729918,1.2627737226277371,128.4481049067149,565.5542278446019,738.4131963939817,,,,,
15,brownout,durable_workflow,574,1.0,0,14,809.7999999999946,1410.8013937282135,1.254355400696864,125.46512469150093,486.75299553707055,683.3110363251503,,,,,
16,brownout,durable_workflow,558,1.0,0,9,779.7999999999945,1397.4910394265135,1.2401433691756272,109.29388864761086,491.9302886641012,692.6637877135272,,,,,
17,brownout,durable_workflow,504,1.0,0,20,716.5999999999952,1421.8253968253873,1.253968253968254,126.49147510574505,589.3663363552987,724.1296068559191,,,,,
18,brownout,durable_workflow,520,1.0,0,18,727.1999999999957,1398.4615384615302,1.2596153846153846,130.40062381164262,602.4603986793722,735.3280703506548,,,,,
19,brownout,durable_workflow,512,0.998046875,0,9,712.7999999999956,1394.911937377682,1.240234375,125.90607644204283,489.71515575126796,677.1000702937667,,,,,
20,brownout,durable_workflow,521,1.0,0,8,723.3999999999953,1388.4836852207202,1.2072936660268714,117.17970743710589,514.4865826392142,643.9845052598885,,,,,
21,brownout,durable_workflow,544,1.0,0,12,764.7999999999946,1405.8823529411666,1.2297794117647058,122.29685998620425,521.4505829872637,705.8013269065386,,,,,
22,brownout,durable_workflow,557,1.0,0,12,765.7999999999948,1374.8653500897574,1.2333931777378815,123.76545500015516,530.5524834545113,679.3981071208295,,,,,
23,brownout,durable_workflow,534,0.9962546816479401,0,13,737.999999999995,1387.2180451127724,1.2209737827715357,112.8584103054186,532.5706883901316,682.4662242423033,,,,,
24,brownout,durable_workflow,568,1.0,0,11,810.1999999999941,1426.408450704215,1.2394366197183098,120.5608689702901,491.18884142135266,660.3032642653493,,,,,
25,brownout,durable_workflow,535,1.0,0,8,741.9999999999949,1386.9158878504577,1.2112149532710281,111.39632184511902,460.1147066312251,686.9251706471659,,,,,
26,brownout,durable_workflow,502,1.0,0,12,727.1999999999948,1448.6055776892326,1.2430278884462151,121.56161440436483,501.92901528444577,690.1242186335792,,,,,
27,brownout,durable_workflow,542,1.0,0,1,738.5999999999937,1362.7306273062613,1.1162361623616237,96.89136298840799,328.9355536575815,504.8721384537257,,,,,
28,brownout,durable_workflow,524,0.9980916030534351,0,13,749.9999999999949,1434.034416825994,1.2557251908396947,122.93818068657583,524.9336129274157,708.0491989702655,,,,,
29,brownout,durable_workflow,535,1.0,0,15,774.3999999999946,1447.4766355140086,1.2373831775700934,113.09181354819611,485.09030240287757,723.7370523295003,,,,,
30,brownout,durable_workflow,512,0.998046875,0,17,720.9999999999952,1410.9589041095799,1.240234375,116.43481420540343,540.9719988614975,695.7461351594056,,,,,
1,hard_outage,naive_retry,513,0.9961013645224172,0,1,644.799999999997,1261.839530332675,1.4736842105263157,96.10856956766429,235.74781672515428,320.26136059768714,212,0.9905660377358491,120.34726564633092,281.98151369888774,354.8915979527494
2,hard_outage,naive_retry,540,1.0,0,2,673.7999999999971,1247.7777777777724,1.4537037037037037,95.95556053093287,235.30600389572896,340.2677937937798,214,1.0,123.80041702130393,280.04296591786556,369.65391456139355
3,hard_outage,naive_retry,526,0.9980988593155894,0,2,643.5999999999973,1225.9047619047567,1.4581749049429658,94.40126273600254,213.29656210477106,308.03217682487957,219,0.9954337899543378,121.71882274350105,246.84684195555224,321.96878217243966
